inventory_code;inventory_pool;serial_number;model_name;Kat1;Kat2;Kat3
AVZ14950;AV-Ausleihe;HL471 9652 27;Akkuleuchte Photon Beard Hyperlight 471;Akkulicht;;
AVZ15229;AV-Ausleihe;HL471 9013 32;Akkuleuchte Photon Beard Hyperlight 471;Akkulicht;;
AVZ13777;AV-Ausleihe;XE940117;Aktivlautsprecher Anchor Explorer PA-2500;Lautsprecher Aktiv;;
AVZ13778;AV-Ausleihe;XE940135;Aktivlautsprecher Anchor Explorer PA-2500;Lautsprecher Aktiv;;
AVZ13026;AV-Ausleihe;--;Aktivlautsprecher db L160;Lautsprecher Aktiv;;
AVZ13027;AV-Ausleihe;--;Aktivlautsprecher db L160;Lautsprecher Aktiv;;
AVZ12179;AV-Ausleihe;662246;Aktivlautsprecher Fostex 6301B (Paar);Lautsprecher Aktiv;;
AVZ13117;AV-Ausleihe;6016275;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ13118;AV-Ausleihe;6016267;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ13119;AV-Ausleihe;6016251;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ13120;AV-Ausleihe;6016250;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ13121;AV-Ausleihe;6016281;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ13122;AV-Ausleihe;6016273;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ15192;AV-Ausleihe;6028429;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ15193;AV-Ausleihe;6028407;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv;;
AVZ15194;AV-Ausleihe;6028408;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15195;AV-Ausleihe;6028412;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15196;AV-Ausleihe;6028339;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15197;AV-Ausleihe;6028414;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15198;AV-Ausleihe;6028405;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15199;AV-Ausleihe;6028420;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15200;AV-Ausleihe;6028421;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ15201;AV-Ausleihe;6028428;Aktivlautsprecher Genelec 8020A;Lautsprecher Aktiv
AVZ20597;AV-Ausleihe;8020A PM6057934;Aktivlautsprecher Genelec 8020A inkl. Manfrotto Stativ 229B;Lautsprecher Aktiv
AVZ13762;AV-Ausleihe;GK2784;Aktivlautsprecher Laney CPC10;Lautsprecher Aktiv
AVZ13763;AV-Ausleihe;GK2785;Aktivlautsprecher Laney CPC10;Lautsprecher Aktiv
AVZ16649;AV-Ausleihe;132A067B28683;Aktivlautsprecher M-Audio Studiophile AV40;Lautsprecher Aktiv
AVZ16652;AV-Ausleihe;132A067B28667;Aktivlautsprecher M-Audio Studiophile AV40;Lautsprecher Aktiv
AVZ16653;AV-Ausleihe;132A067B28431;Aktivlautsprecher M-Audio Studiophile AV40;Lautsprecher Aktiv
AVZ16654;AV-Ausleihe;132A067B28666;Aktivlautsprecher M-Audio Studiophile AV40;Lautsprecher Aktiv
