Owner:;Invent.Nr.;Bezeichnung:;Kategorie:;Gebäude:;Raum:;Abteilung:;Serien-Nr.;Rechnungsdatum:;Wert:;Lieferant;Leistung;Fassung;Gewicht;Lampentyp;Apparate-Nr.
AV-Technik;AVZ22500;Aktivlautsprecher Genelec 8050A;Lautsprecher/-anlagen;Flo6;;DMU;PM6003383;01.01.05;1500;Sonic Design;;;;;
AV-Technik;AVZ22501;Aktivlautsprecher Genelec 8050A;Lautsprecher/-anlagen;Flo6;;DMU;PM6004385;01.01.05;1500;Sonic Design;;;;;
AV-Technik;AVZ22502;Mischpult Alan&Heath WZ14:4:2+;Audio-Mischer;Flo6;;DMU;W2144222018454;01.01.05;1000;unbekannt;;;;;
AV-Technik;AVZ22503;Beamer ASK Proxima C160;Beamer;Flo6;;DMU;ALYN4*;01.01.05;3000;Kaiser Shop;;;;;
AV-Technik;AVZ22504;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;630 24269;01.01.95;2500;Liesegang;;;;;
AV-Technik;AVZ22505;Dia-/Hellraumprojektor Medium Typ 1030;Dia-/Hellraumprojektor;Flo6;;DMU;20881;01.01.90;2000;Medium;;;;;
AV-Technik;AVZ22506;Beamer ASK Proxima C160;Beamer;Flo6;;DMU;ALYN435*;01.01.05;3000;Kaiser Shop;;;;;
AV-Technik;AVZ22507;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;0630B01428;01.01.95;2000;Liesegang;;;;;
AV-Technik;AVZ22508;Lautsprecher PMC DB1+;Lautsprecher/-anlagen;Flo6;;DMU;9201;01.08.07;500;Y&C Electronic;;;;;
AV-Technik;AVZ22509;Lautsprecher PMC DB1+;Lautsprecher/-anlagen;Flo6;;DMU;9202;01.08.07;500;Y&C Electronic;;;;;
AV-Technik;AVZ22510;Verstärker Yamaha AX-397;Verstärker;Flo6;;DMU;Y126066UW;01.08.07;400;Kaiser Shop;;;;;
AV-Technik;AVZ22511;Audio Recorder/Player Yamaha CDX-307;Audio Recorder/Player;Flo6;;DMU;Z135116UW;01.08.07;250;Kaiser Shop;;;;;
AV-Technik;AVZ22512;Minidisc Sony MDS-JE480;Audio Recorder/Player;Flo6;;DMU;5607156;01.08.07;250;Kaiser Shop;;;;;
AV-Technik;AVZ22513;Minidisc Sony MDS-JE480;Audio Recorder/Player;Flo6;;DMU;5575320;01.08.07;250;netto24;;;;;
AV-Technik;AVZ22514;Audio Recorder/Player Sony CDP-XE370;Audio Recorder/Player;Flo6;;DMU;5586942;01.08.07;250;netto24;;;;;
AV-Technik;AVZ22515;DVD/VHS Rec. Panasonic NV-VP31;Video Recorder/Player;Flo6;;DMU;keine;01.08.07;350;netto24;;;;;
AV-Technik;AVZ22516;Aktivlautsprecher Hafler TRM8;Lautsprecher/-anlagen;Flo6;;DMU;0152518811-02;01.08.07;1500;unbekannt;;;;;
AV-Technik;AVZ22517;Aktivlautsprecher Hafler TRM8;Lautsprecher/-anlagen;Flo6;;DMU;0152518841-02;01.08.07;1500;unbekannt;;;;;
AV-Technik;AVZ22518;Beamer Infocus LP540;Beamer;Flo6;;DMU;unbekannt;01.08.07;1500;Eichmann;;;;;
AV-Technik;AVZ22519;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;630 24364;01.01.95;1500;Liesegang;;;;;
AV-Technik;AVZ22520;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;630B01426;01.01.95;1500;Liesegang;;;;;
AV-Technik;AVZ22521;Beamer ASK Proxima C160;Beamer;Flo6;;DMU;unbekannt;01.01.05;1500;Kaiser Shop;;;;;
AV-Technik;AVZ22522;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;630 22509;01.01.95;1500;Liesegang;;;;;
AV-Technik;AVZ22523;Beamer ASK Proxima C160;Beamer;Flo6;;DMU;unbekannt;01.01.05;1500;Kaiser Shop;;;;;
AV-Technik;AVZ22524;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;630B00706;01.01.95;1500;Liesegang;;;;;
AV-Technik;AVZ22525;Dia-/Hellraumprojektor Liesegang Trainer 630;Dia-/Hellraumprojektor;Flo6;;DMU;630 22508;01.01.95;1500;Liesegang;;;;;
AV-Technik;AVZ22526;Aktivlautsprecher Hafler TRM8;Lautsprecher/-anlagen;Flo6;;DMU;0074301101-02;01.08.07;1500;unbekannt;;;;;
AV-Technik;AVZ22527;Aktivlautsprecher Hafler TRM8;Lautsprecher/-anlagen;Flo6;;DMU;0069351671-02;01.08.07;1500;unbekannt;;;;;
AV-Technik;AVZ22528;DVD/VHS Recorder Panasonic NV-FP30;Video Recorder/Player;Flo6;;DMU;keine;01.08.07;350;netto24;;;;;
AV-Technik;AVZ22529;Audio Recorder/Player Tascam CD-RW750;Audio Recorder/Player;Flo6;;DMU;81595;01.08.07;1200;Telion;;;;;
AV-Technik;AVZ22530;Mikrofon Beyerdynamic MCE82;Mikrofon;Flo6;;DMU;2213;01.08.07;800;unbekannt;;;;;
AV-Technik;AVZ22531;Mikrofon Neumann U87;Mikrofon;Flo6;;DMU;50954;01.01.90;4000;Neumann;;;;;
AV-Technik;AVZ22532;Mikrofon Neumann U87;Mikrofon;Flo6;;DMU;50950;01.01.90;4000;Neumann;;;;;
AV-Technik;AVZ22533;Mikrofon Neumann U87;Mikrofon;Flo6;;DMU;50951;01.01.90;4000;Neumann;;;;;
AV-Technik;AVZ22534;Mikrofon Neumann U 87Ai;Mikrofon;Flo6;;DMU;99567;01.01.90;4000;Neumann;;;;;
AV-Technik;AVZ22535;Mikrofonset Neumann KM 184;Mikrofon;Flo6;;DMU;83328 & 83329;01.01.04;2000;Neumann;;;;;
AV-Technik;AVZ22536;Mikrofon Neumann KM 184;Mikrofon;Flo6;;DMU;25663;01.01.04;1200;Neumann;;;;;
AV-Technik;AVZ22537;Mikrofon Neumann KM 184;Mikrofon;Flo6;;DMU;68111;01.01.04;1200;Neumann;;;;;
AV-Technik;AVZ22538;Mikrofon Neumann KMS 105;Mikrofon;Flo6;;DMU;60971;01.01.04;1200;Neumann;;;;;
AV-Technik;AVZ22539;Mikrofon Neumann KMS 105;Mikrofon;Flo6;;DMU;70430;01.01.04;1200;Neumann;;;;;
AV-Technik;AVZ22540;Mikrofon Neumann KMS 105;Mikrofon;Flo6;;DMU;60966;01.01.04;1200;Neumann;;;;;
AV-Technik;AVZ22541;Mikrofon Neumann USM 69 stereo;Mikrofon;Flo6;;DMU;1139;01.01.04;1200;Neumann;;;;;
AV-Technik;AVZ22542;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69405;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22543;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69402;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22544;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69403;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22545;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69400;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22546;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69399;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22547;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69406;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22548;Mikrofon Sennheiser MD 441 U;Mikrofon;Flo6;;DMU;69401;01.01.90;1000;Bleuel;;;;;
AV-Technik;AVZ22549;Scheinwerfer Selecon Fresnel 650W;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22550;Scheinwerfer Selecon Fresnel 650W;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22551;Scheinwerfer Selecon Fresnel 650W;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22552;Scheinwerfer Selecon Fresnel 650W;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22553;Scheinwerfer Selecon Fresnel 650W;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22554;Scheinwerfer Selecon Fresnel 650W;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22555;Scheinwerfer Thomas Par 64;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22556;Scheinwerfer Thomas Par 64;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22557;Scheinwerfer Thomas Par 64;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22558;Scheinwerfer Thomas Par 64;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22559;Scheinwerfer Thomas Par 64;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22560;Scheinwerfer Thomas Par 64;Licht/Scheinwerfer;Flo6;;DMU;keine;01.01.05;300;IQ Unlimited Unlimited;;;;;
AV-Technik;AVZ22561;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;1204;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22562;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;2281;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22563;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;1202;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22564;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;keine;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22565;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;keine;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22566;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;keine;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22567;Lautsprecher L'Acoustics MTD112;Lautsprecher/-anlagen;Flo6;;DMU;keine;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22568;Subwoofer L'Acoustic SB115;Lautsprecher/-anlagen;Flo6;;DMU;1826;01.08.07;2500;Sonic Design;;;;;
AV-Technik;AVZ22569;Endstufe L'Acoustics LA 15a;Verstärker;Flo6;;DMU;409-015;01.08.07;2000;Sonic Design;;;;;
AV-Technik;AVZ22570;Endstufe L'Acoustics LA 15a;Verstärker;Flo6;;DMU;keine;01.08.07;2000;Sonic Design;;;;;
AV-Technik;AVZ22571;In-Ear Monitoring Shure P4T & P4R;Kopfhörer;Flo6;;DMU;309070613;01.08.07;1000;Sonic Design;;;;;
AV-Technik;AVZ22572;In-Ear Monitoring Shure P4T & P4R;Kopfhörer;Flo6;;DMU;309070608;01.08.07;1000;Sonic Design;;;;;
AV-Technik;AVZ22573;In-Ear Monitoring Shure P4T & P4R;Kopfhörer;Flo6;;DMU;309070609;01.08.07;1000;Sonic Design;;;;;
AV-Technik;AVZ22574;In-Ear Monitoring Shure P4T & P4R;Kopfhörer;Flo6;;DMU;309070612;01.08.07;1000;Sonic Design;;;;;
AV-Technik;AVZ22575;HiFi-Anlage Sony HCD-M373;HiFi Anlage;Flo6;;DMU;5101241;01.08.07;500;unbekannt;;;;;
AV-Technik;AVZ22576;Audiointerface Motu 828MK2FW;Verschiedene AV-Geräte;Flo6;;DMU;8282154201;01.08.07;1500;unbekannt;;;;;
AV-Technik;AVZ22577;Lautsprecher PMC TB2+;Lautsprecher/-anlagen;Flo6;;DMU;11838;01.08.07;1000;Y&C Electronic;;;;;
AV-Technik;AVZ22578;Lautsprecher PMC TB2+;Lautsprecher/-anlagen;Flo6;;DMU;11837;01.08.07;1000;Y&C Electronic;;;;;
AV-Technik;AVZ22579;Lautsprecher PMC TB2+;Lautsprecher/-anlagen;Flo6;;DMU;11827;01.08.07;1000;Y&C Electronic;;;;;
AV-Technik;AVZ22580;Lautsprecher PMC TB2+;Lautsprecher/-anlagen;Flo6;;DMU;11828;01.08.07;1000;Y&C Electronic;;;;;
AV-Technik;AVZ22581;MiniDisc Sony MDS-JE480;Audio Recorder/Player;Flo6;;DMU;5606751;01.08.07;300;Kaiser;;;;;
AV-Technik;AVZ22582;Audio Recorder/Player Yamaha CDX-397;Audio Recorder/Player;Flo6;;DMU;Z142146UW;01.08.07;300;Kaiser;;;;;
AV-Technik;AVZ22583;Verstärker Yamaha AX-396;Verstärker;Flo6;;DMU;Y346386YO;01.08.07;500;Kaiser;;;;;
AV-Technik;AVZ22584;Audio Recorder/Player Yamaha CDX-396;Audio Recorder/Player;Flo6;;DMU;Y148936OQ;01.08.07;300;Kaiser;;;;;
AV-Technik;AVZ22585;Verstärker Yamaha AX-397;Verstärker;Flo6;;DMU;Y126056UW;01.08.07;500;Kaiser;;;;;
AV-Technik;AVZ22586;Aktivlautsprecher Genelec 8030A;Lautsprecher/-anlagen;see225;;Tanz;PM6070715;25.06.09;995;Z&B;;;;;
AV-Technik;AVZ22587;Aktivlautsprecher Genelec 8030A;Lautsprecher/-anlagen;see225;;Tanz;PM6070709;01.07.09;995;Z&B;;;;;
AV-Technik;AVZ22588;LCD-Monitor Sony KDL-40W4000 Full-HD;Video Monitor;K17;;AVT-Lager;177998004717981;25.06.09;1200;Digitec;;;;;
